angle,distance,type
-19.629556913945443,3.9986323659250087,0
-19.629556913945443,3.9986323659250087,0
-19.629556913945443,3.9986323659250087,0
-19.629556913945443,3.9986323659250087,0
-19.629556913945443,3.9986323659250087,0
-19.629556913945443,4.008555071463236,0
-19.629556913945443,4.008555071463236,0
-19.629556913945443,4.008555071463236,0
-19.629556913945443,3.9887116808227416,0
-19.629556913945443,3.9887116808227416,0
-19.629556913945443,3.9887116808227416,0
-19.629556913945443,3.9887116808227416,0
-19.629556913945443,3.9887116808227416,0
-19.629556913945443,4.018479798671938,0
-19.629556913945443,4.018479798671938,0
-19.629556913945443,4.018479798671938,0
-19.629556913945443,4.018479798671938,0
-19.629556913945443,4.018479798671938,0
-19.629556913945443,4.018479798671938,0
-19.629556913945443,3.978793014923184,0
-19.629556913945443,3.978793014923184,0
-19.629556913945443,3.978793014923184,0
-19.629556913945443,3.978793014923184,0
-19.629556913945443,4.0284065487869025,0
-19.629556913945443,3.968876366994356,0
-19.629556913945443,3.968876366994356,0
-19.629556913945443,3.968876366994356,0
-19.629556913945443,3.968876366994356,0
-19.629556913945443,3.968876366994356,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-19.3921105549041,3.9991150932669557,0
-10.351558098918115,1.0070139173764698,0
-10.351558098918115,1.0070139173764698,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,0.9972578554713529,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.579155995477752,1.0065856932909214,0
-10.351558098918115,0.9883607180704348,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
-10.806922874860343,0.9968248546260459,0
